canonical_id	status	collection_path	pdf_path	txt_path	pdf_bytes	txt_chars	text_extractor	pdf_sha256	source_url	label	page_url	error
MN 146	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn146/mn146.pdf	majjhima-nikaya/mn146/mn146.txt	261397	44249	pymupdf	777c90d84aff419762dec492d9ecbb2c808b2364cb70d9c10c44b253fcb20f2b	https://www.mindreleased.com/s/MN-146-Nandakovda-Sutta.pdf	Nandakovāda Sutta (The Venerable Nandaka’s Instruction) MN 146	https://www.mindreleased.com/pali-suttas	
AN 7.51	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an07-51/an07-51.pdf	anguttara-nikaya/an07-51/an07-51.txt	113344	6121	pymupdf	0c010c9f36913fea7a305e3bf468f03b97a79915657664894126e845f24d9bae	https://www.mindreleased.com/s/AN-751-Sayoga-Sutta.pdf	Saṁyoga Sutta (On Joining & Splitting) AN 7.51	https://www.mindreleased.com/pali-suttas	
SN 36.6	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn36-06/sn36-06.pdf	samyutta-nikaya/sn36-06/sn36-06.txt	182444	8668	pymupdf	005e1cf58684acf16a6a24c1798b20e0f5a448b5327acf68101f797e32841b1f	https://www.mindreleased.com/s/SN-36-6-Salla-Sutta.pdf	Salla Sutta (The Arrow) SN 36.6	https://www.mindreleased.com/pali-suttas	
AN 4.53	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an04-53/an04-53.pdf	anguttara-nikaya/an04-53/an04-53.txt	167006	5819	pymupdf	dbb7a7bf300f783db518b0de905aecc5ac246f49e248cb311fad4a77bc53071f	https://www.mindreleased.com/s/AN-453-Pahamasavsa-Sutta.pdf	Paṭhamasaṃvāsa Sutta (On Living Together - Part 1) AN 4.53	https://www.mindreleased.com/pali-suttas	
Snp 1.4	TEXT_EXTRACTED	khuddaka-nikaya/sutta-nipata	khuddaka-nikaya/sutta-nipata/snp01-04/snp01-04.pdf	khuddaka-nikaya/sutta-nipata/snp01-04/snp01-04.txt	173051	6010	pymupdf	8e7361ed81c0c183cc4ee1ad9a1552262447d3cbc9c92a9c97bf3a7e28a9dbfc	https://www.mindreleased.com/s/Sn-14-Kasibhradvja-Sutta.pdf	Kasibhāradvāja Sutta (The Farmer Bhāradvāja) Snp. 1.4	https://www.mindreleased.com/pali-suttas	
AN 4.159	TEXT_EXTRACTED	anguttara-nikaya	anguttara-nikaya/an04-159/an04-159.pdf	anguttara-nikaya/an04-159/an04-159.txt	182848	6758	pymupdf	cddf67a7ed44380bbb929303960e0309f832e8aa0bb784afbba8ba3edd1c690f	https://www.mindreleased.com/s/AN-4159-Bhikkhuni-Sutta.pdf	Bhikkhuni Sutta (Discourse to a Bhikkhuni) AN 4.159	https://www.mindreleased.com/pali-suttas	
MN 122	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn122/mn122.pdf	majjhima-nikaya/mn122/mn122.txt	202169	25871	pymupdf	5a55c1e184b5d193d5f98e4b67d808d1966e8c2e3f1a45e4078ae656e6f0fa0b	https://www.mindreleased.com/s/MN-122-Mah-Suata-Sutta.pdf	Mahā Suññata Sutta (Greater Discourse on Emptiness) MN 122	https://www.mindreleased.com/pali-suttas	
DN 16	TEXT_EXTRACTED	digha-nikaya	digha-nikaya/dn16/dn16.pdf	digha-nikaya/dn16/dn16.txt	764802	207913	pymupdf	449519b5a0257eaaeef9c92015d5332d548606f120dae53ee00b11819e69aa3b	https://www.mindreleased.com/s/DN-16-Mahparinibbna-Sutta-complete.pdf	Mahā Parinibbāna Sutta (The Great Discourse on Lord Buddha’s Final Release) DN 16 (Complete)	https://www.mindreleased.com/pali-suttas	
MN 62	TEXT_EXTRACTED	majjhima-nikaya	majjhima-nikaya/mn62/mn62.pdf	majjhima-nikaya/mn62/mn62.txt	160086	16462	pymupdf	f943941f4ae7757a2ba45b8986134b74339d759a3d3870a21beedcbea55226c9	https://www.mindreleased.com/s/MN-62-Mah-Rahulovda-Sutta.pdf	Mahā Rahulovāda Sutta (Greater Discourse on the Advice to the Venerable Rāhula) MN 62	https://www.mindreleased.com/pali-suttas	
SN 56.11	TEXT_EXTRACTED	samyutta-nikaya	samyutta-nikaya/sn56-11/sn56-11.pdf	samyutta-nikaya/sn56-11/sn56-11.txt	235281	12413	pymupdf	7730441fe99bfa5875c03acdb4c1eefb81b3ca8c1b3f3258b10300c881ff8feb	https://www.mindreleased.com/s/SN-5611-Dhammacakkappavattana-Sutta.pdf	Dhammacakkappavattana Sutta (Setting the Wheel of Dhamma in Motion) SN 56.11	https://www.mindreleased.com/pali-suttas	
